Category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Year,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0
Number of Head,100.0,100.0,320.0,320.0,800.0,800.0,320.0,320.0,320.0,100.0,100.0,200.0,250.0,320.0,100.0,100.0,320.0,320.0,320.0,320.0,800.0,800.0,320.0,320.0,320.0,100.0,100.0,200.0,250.0,320.0,100.0,100.0,320.0,320.0,320.0,320.0,800.0,800.0,100.0,100.0,200.0,250.0,320.0,100.0,100.0,320.0,320.0,320.0,320.0,800.0,800.0,320.0,320.0,320.0,100.0,100.0,200.0,250.0,320.0,100.0,100.0,320.0,320.0,320.0,320.0,800.0,800.0,320.0,320.0,320.0,100.0,100.0,200.0,250.0,320.0
Buy Weight,5.0,4.5,5.0,4.0,4.75,4.75,4.5,4.7,4.5,5.0,4.5,5.25,4.5,4.0,5.0,4.5,5.0,4.0,5.0,4.0,4.75,4.75,4.5,4.7,4.5,5.0,4.5,5.25,4.5,4.0,5.0,4.5,5.0,4.0,5.0,4.0,4.75,4.75,5.0,4.5,5.25,4.5,4.0,5.0,4.5,5.0,4.0,5.0,4.0,4.75,4.75,4.5,4.7,4.5,5.0,4.5,5.25,4.5,4.0,5.0,4.5,5.0,4.0,5.0,4.0,4.75,4.75,4.5,4.7,4.5,5.0,4.5,5.25,4.5,4.0
Buy Price,176.79,176.79,155.0,170.0,165.0,165.0,170.0,160.0,170.0,176.79,176.79,145.56,142.14,185.0,155.0,145.0,150.0,170.0,160.0,180.0,155.0,155.0,145.0,145.0,145.0,160.0,162.0,144.98,177.25,180.0,160.0,170.0,155.0,172.0,160.0,170.0,160.0,160.0,160.0,162.0,154.0,169.25,165.0,179.0,189.0,179.0,189.0,179.0,189.0,179.0,179.0,177.0,175.0,177.0,179.0,189.0,179.0,189.0,180.0,210.0,215.0,202.0,225.0,198.0,209.0,210.0,210.0,210.0,200.0,210.0,2.1,2.22,210.0,205.0,210.0
Sell Weight,6.5,6.0,7.5,6.1,6.4,7.95,7.5,6.7,8.4,6.5,6.0,6.75,6.17,7.3,6.5,6.0,7.5,6.1,7.5,6.1,6.9,7.95,7.5,6.7,8.4,6.5,6.0,6.75,6.17,7.3,6.5,6.0,7.5,6.1,7.5,6.1,6.9,7.95,6.5,6.0,6.75,6.17,7.3,6.5,6.0,7.5,6.1,7.5,6.1,6.9,7.95,7.5,6.7,8.4,6.5,6.0,6.75,6.17,7.5,6.5,6.0,7.5,6.1,7.5,6.1,6.9,7.95,7.5,6.7,8.4,6.5,6.0,6.75,6.17,7.5
Sell Price,156.87,157.53,140.0,152.0,150.0,140.0,145.0,150.0,135.0,156.87,157.53,131.39,147.3,142.0,150.0,160.0,138.0,145.0,142.0,152.75,145.0,140.0,145.0,155.0,135.0,149.0,150.0,139.5,147.3,132.0,162.0,145.0,151.0,142.0,143.0,155.0,152.0,145.0,149.0,150.0,150.0,143.0,125.0,162.0,164.0,156.0,164.0,156.0,164.0,165.0,155.0,155.0,160.0,150.0,150.0,164.0,164.0,164.0,155.0,186.0,180.0,191.0,183.0,180.0,183.0,191.0,181.0,170.0,180.0,160.0,1.86,1.8,186.0,180.0,170.0
Total Revenue,968.67,897.92,1008.0,890.11,936.0,1079.61,1065.75,979.88,1105.65,968.67,897.92,873.86,891.24,1015.87,926.25,912.0,993.6,849.12,1022.4,894.5,985.49,1079.61,1065.75,1012.54,1105.65,920.08,855.0,927.8,891.24,944.33,1000.35,826.5,1087.2,831.55,1029.6,907.68,1033.07,1118.17,920.08,855.0,997.64,865.22,894.25,1000.35,934.8,1123.2,960.38,1123.2,960.38,1121.42,1195.28,1139.25,1045.2,1228.5,926.25,934.8,1090.75,992.29,1139.25,1148.55,1026.0,1375.2,1071.65,1296.0,1071.65,1298.13,1395.78,1249.5,1175.85,1310.4,11.49,10.26,1237.07,1089.09,1249.5
Total Variable Costs,1052.68,1044.42,1047.39,913.56,951.37,1063.68,983.59,970.28,1076.78,1015.54,930.62,907.73,821.05,907.83,940.42,893.78,853.94,827.21,1084.62,967.69,932.38,1018.11,868.42,898.3,960.57,933.78,861.79,904.62,981.77,895.21,968.77,1014.6,1010.77,928.53,1084.62,936.94,965.64,1054.84,932.79,860.98,950.52,942.65,849.61,1066.91,1104.43,1129.66,1002.53,1187.49,1033.97,1079.3,1178.79,1039.24,1060.07,1128.6,1035.66,989.45,1092.52,1056.0,917.77,1231.87,1238.45,1260.55,1168.35,1325.21,1166.7,1257.18,1372.35,1259.79,1259.74,1422.82,130.18,131.39,1272.51,1156.23,1061.5
Total Fixed Costs,136.83,136.83,0.0,0.0,13.98,7.23,13.94,18.67,18.67,34.21,34.21,6.59,8.23,30.98,136.83,136.83,0.0,0.0,0.0,0.0,37.32,48.98,13.94,18.67,18.67,32.7,32.7,6.59,8.23,30.98,136.83,136.83,0.0,0.0,0.0,0.0,37.32,48.98,43.37,43.37,6.22,7.94,30.98,134.42,134.42,0.0,0.0,0.0,0.0,37.32,48.98,13.94,18.67,18.67,46.32,46.32,7.12,8.4,30.98,154.94,154.94,0.0,0.0,0.0,0.0,37.59,49.25,13.94,18.67,18.67,52.61,52.61,9.05,9.38,30.98
Profit,-220.84,-283.33,-39.39,-23.45,-29.35,8.7,68.22,-9.07,10.2,-81.08,-66.91,-40.46,61.96,77.06,-151.0,-118.61,139.66,21.91,-62.22,-73.19,15.79,12.52,183.39,95.57,126.41,-46.4,-39.49,16.59,-98.76,18.14,-105.25,-324.93,76.43,-96.98,-55.02,-29.26,30.11,14.35,-56.08,-49.35,40.9,-85.37,13.66,-200.98,-304.05,-6.46,-42.15,-64.29,-73.59,4.8,-32.49,86.07,-33.54,81.23,-155.73,-100.97,-8.89,-72.11,190.5,-238.26,-367.39,114.65,-96.7,-29.21,-95.05,3.36,-25.82,-24.23,-102.56,-131.09,-171.3,-173.74,-44.49,-76.52,157.02
Stocker,968.67,897.92,1008.0,890.11,936.0,1079.61,1065.75,979.88,1105.65,968.67,897.92,873.86,891.24,1015.87,926.25,912.0,993.6,849.12,1022.4,894.5,985.49,1079.61,1065.75,1012.54,1105.65,920.08,855.0,927.8,891.24,944.33,1000.35,826.5,1087.2,831.55,1029.6,907.68,1033.07,1118.17,920.08,855.0,997.64,865.22,894.25,1000.35,934.8,1123.2,960.38,1123.2,960.38,1121.42,1195.28,1139.25,1045.2,1228.5,926.25,934.8,1090.75,992.29,1139.25,1148.55,1026.0,1375.2,1071.65,1296.0,1071.65,1298.13,1395.78,1249.5,1175.85,1310.4,11.49,10.26,1237.07,1089.09,1249.5
Stocker Purchase,883.95,795.56,775.0,680.0,783.75,783.75,765.0,752.0,765.0,883.95,795.56,764.19,639.63,740.0,775.0,652.5,750.0,680.0,800.0,720.0,736.25,736.25,652.5,681.5,652.5,800.0,729.0,761.15,797.63,720.0,800.0,765.0,775.0,688.0,800.0,680.0,760.0,760.0,800.0,729.0,808.5,761.63,660.0,895.0,850.5,895.0,756.0,895.0,756.0,850.25,850.25,796.5,822.5,796.5,895.0,850.5,939.75,850.5,720.0,1050.0,967.5,1010.0,900.0,990.0,836.0,997.5,997.5,945.0,940.0,945.0,10.5,9.99,1102.5,922.5,840.0
Stocker Delivery,,,7.5,7.5,,,,,,,,5.0,5.0,,,,7.5,7.5,7.5,7.5,,,,,,,,5.0,5.0,,,,7.5,7.5,7.5,7.5,,,,,5.0,5.0,,,,7.5,7.5,7.5,7.5,,,,,,,,5.0,5.0,,,,7.5,7.5,7.5,7.5,,,,,,,,5.0,5.0,
Grazing,50.63,95.63,125.0,87.0,76.41,152.65,24.0,78.18,154.38,50.63,63.28,60.25,76.87,60.0,50.63,95.63,50.0,96.67,125.0,87.0,103.88,152.65,24.0,78.18,154.38,50.63,63.28,60.25,76.87,60.0,50.63,95.63,50.0,96.67,125.0,96.67,114.27,167.92,50.63,63.28,60.25,76.87,60.0,50.63,95.63,50.0,106.33,125.0,106.33,135.05,198.45,24.0,78.18,154.38,50.63,63.28,60.25,93.95,60.0,50.63,95.63,50.0,116.0,125.0,116.0,155.82,228.98,24.0,134.56,267.92,50.63,63.28,60.25,102.49,60.0
Health,3.13,3.0,25.0,25.0,24.0,16.2,30.0,30.0,30.0,3.39,3.0,15.0,15.0,7.0,2.48,2.43,7.81,7.81,25.0,25.0,24.0,16.2,30.0,30.0,30.0,3.39,3.0,15.0,15.0,10.0,5.96,5.91,7.81,7.81,25.0,25.0,24.0,16.2,3.39,3.0,15.0,15.0,10.0,5.96,5.91,7.81,7.81,25.0,25.0,24.0,16.2,30.0,30.0,30.0,3.39,3.0,15.0,15.0,12.0,5.96,5.91,11.44,11.44,32.13,32.13,24.0,16.2,30.0,30.0,30.0,3.39,3.0,15.0,15.0,15.0
Feed,17.27,32.1,6.75,19.25,19.25,36.3,99.0,52.4,53.0,6.67,11.12,15.05,18.35,48.01,17.27,32.1,2.85,7.83,6.46,21.46,19.25,36.3,99.0,52.4,53.0,6.67,11.12,15.05,18.35,52.01,17.27,32.1,2.85,8.25,6.46,21.81,18.0,33.3,6.67,8.15,15.52,18.35,67.7,17.27,32.1,2.85,8.25,6.46,28.26,18.0,33.3,117.48,66.26,66.95,6.67,8.15,15.52,18.35,72.45,15.75,29.29,3.02,8.74,7.8,34.39,19.88,37.8,183.75,88.6,89.5,6.67,8.15,21.27,31.28,85.39
Miscellaneous,9.44,9.44,60.0,65.0,,,10.0,10.0,10.0,0.1,0.1,,,4.0,9.44,9.44,2.5,2.5,70.0,75.0,,,10.0,10.0,10.0,,,,,4.0,8.61,8.61,11.87,11.87,70.0,75.0,,,,,,,4.0,8.61,8.61,2.5,2.5,70.0,75.0,,,10.0,10.0,10.0,,,,,4.0,8.61,8.61,2.65,2.65,90.0,96.5,,,4.0,4.0,4.0,,,,,4.0
Fuel,23.88,23.88,,,8.23,18.43,0.77,2.38,2.38,5.97,5.97,5.1,4.08,3.42,23.88,23.88,,,,,8.11,18.43,0.77,2.38,2.38,5.97,5.97,5.1,4.08,3.94,23.88,23.88,,,,,7.96,18.43,5.97,5.97,3.83,3.06,3.42,23.88,23.88,,,,,8.36,18.43,0.92,2.86,2.86,5.97,5.97,5.31,4.25,3.73,23.88,23.88,,,,,8.66,18.43,1.07,3.4,3.4,5.97,5.97,4.44,3.55,4.93
Lube (As a % of fuel),2.39,2.39,,,0.82,1.84,0.08,0.24,0.24,0.6,0.6,0.51,0.41,0.34,2.39,2.39,,,,,0.81,1.84,0.08,0.24,0.24,0.6,0.6,0.51,0.41,0.39,2.39,2.39,,,,,0.8,1.84,0.6,0.6,0.38,0.31,0.34,2.39,2.39,,,,,0.84,1.84,0.09,0.29,0.29,0.6,0.6,0.53,0.43,0.37,2.39,2.39,,,,,0.87,1.84,0.11,0.34,0.34,0.6,0.6,0.44,0.36,0.49
Utilities,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,0.6,0.45,,3.0,,,,,,,,,,,,,0.6,0.45,,3.0,,,,,,,,,,,,,0.6,0.45,,3.0,
Repairs,13.69,13.69,,,,,0.86,0.96,0.96,3.42,3.42,2.43,1.91,0.96,13.69,13.69,,,,,,,0.86,0.96,0.96,3.42,3.42,2.43,1.91,0.96,13.69,13.69,,,,,,,9.02,9.02,5.43,1.91,0.96,13.69,13.69,,,,,,,0.86,0.96,0.96,9.02,9.02,5.43,1.91,0.96,13.69,13.69,,,,,,,0.86,0.96,0.96,9.02,9.02,5.43,1.91,0.96
Marketing,19.16,19.16,,,11.7,14.55,10.78,10.73,10.73,28.19,28.19,18.22,17.64,14.31,19.16,19.16,,,,,11.82,14.55,10.78,10.73,10.73,28.19,28.19,18.22,17.64,14.31,19.16,19.16,,,,,11.82,14.55,28.19,28.19,18.22,17.64,14.31,19.16,19.16,,,,,11.82,14.55,10.78,10.73,10.73,28.19,28.19,18.22,17.64,14.31,19.16,19.16,,,,,11.82,14.55,10.78,10.73,10.73,28.19,28.19,18.22,17.64,14.31
Labor,5.0,5.0,23.67,15.7,8.42,12.56,21.78,15.33,21.03,10.0,,1.0,26.93,15.83,5.0,5.0,12.04,12.04,24.41,16.19,8.42,12.56,21.78,15.33,21.03,15.0,,1.0,26.93,15.83,5.0,5.0,132.04,94.54,24.41,16.19,8.42,12.56,12.5,,1.25,26.93,15.83,6.55,6.55,135.86,98.36,29.29,19.43,8.42,12.56,26.14,18.4,25.24,13.16,,1.31,26.93,15.83,7.0,7.0,135.91,98.41,31.28,20.75,8.42,12.56,26.14,18.4,25.24,12.5,,1.31,26.93,15.83
Interest on Credit Line,24.15,44.58,24.47,14.11,18.8,27.4,21.33,18.06,29.06,22.63,19.39,17.98,12.23,13.96,21.49,37.57,21.24,12.87,26.26,15.54,19.84,29.33,18.66,16.59,25.35,19.92,17.22,17.92,14.96,13.77,22.18,43.23,23.7,13.9,26.26,14.78,20.37,30.05,15.23,13.32,17.15,12.96,13.05,23.77,46.01,28.15,15.79,29.25,16.45,22.57,33.21,22.49,19.9,30.7,22.44,20.29,26.2,19.05,14.12,34.79,65.39,40.03,23.62,41.5,23.42,30.22,44.49,34.08,28.76,45.73,2.11,2.74,38.65,26.57,20.58
Depreciation,58.34,58.34,,,12.49,6.49,10.71,8.89,8.89,14.58,14.58,2.42,4.77,15.5,58.34,58.34,,,,,12.49,12.49,10.71,8.89,8.89,14.58,14.58,2.42,4.77,15.5,58.34,58.34,,,,,12.49,12.49,23.05,23.05,,4.77,15.5,58.34,58.34,,,,,12.49,12.49,10.71,8.89,8.89,23.05,23.05,,4.77,15.5,58.34,58.34,,,,,12.49,12.49,10.71,8.89,8.89,23.05,23.05,,4.77,15.5
Equipment Investment,78.49,78.49,,,1.5,0.74,3.22,9.78,9.78,19.62,19.62,4.17,3.46,15.48,78.49,78.49,,,,,1.5,1.5,3.22,9.78,9.78,18.11,18.11,4.17,3.46,15.48,78.49,78.49,,,,,1.5,1.5,20.32,20.32,6.22,3.17,15.48,76.08,76.08,,,,,1.5,1.5,3.22,9.78,9.78,23.28,23.28,7.12,3.63,15.48,96.6,96.6,,,,,1.77,1.77,3.22,9.78,9.78,29.56,29.56,9.05,4.61,15.48
"Management Fee, Owner/Operator Labor",,,,,,,,,,,,,,,,,,,,,23.33,35.0,,,,,,,,,,,,,,,23.33,35.0,,,,,,,,,,,,23.33,35.0,,,,,,,,,,,,,,,23.33,35.0,,,,,,,,
